# NAME                    EXTINCTION    LAMBDA   LAMBDAWIDTH
DECAM_UMAG                 1.45951      3876.37     277
DECAM_GMAG                 1.18770      4841.88	   1138
DECAM_RMAG                 0.82950      6438.53    1383
DECAM_IMAG                 0.63501      7821.01    1385
DECAM_ZMAG                 0.46428      9172.48    1269
DECAM_YMAG                 0.41207      9877.84     679
GAIAEDR3_GMAG              0.83627      6390.21    4416
GAIAEDR3_GBPMAG            1.08337      5182.58    2617
GAIAEDR3_BPMAG             1.08337      5182.58    2617
GAIAEDR3_GRPMAG            0.63439      7825.08    2863
GAIAEDR3_RPMAG             0.63439      7825.08    2863
JOHNSON_UMAG               1.55814      3598.54     584
JOHNSON_BMAG  	      	   1.32616      4385.92     913
JOHNSON_VMAG  	      	   1.00096      5490.56     857
JOHNSON_RMAG  	      	   0.80815      6594.72    1591
JOHNSON_IMAG  	      	   0.59893      8059.88    1495
JOHNSON_JMAG               0.28688     12369.26    2047
JOHNSON_HMAG               0.18103     16464.45    2854
JOHNSON_KMAG               0.11265     22105.45    3646
SDSS_UMAG                  1.57465      3561.79     558
SDSS_GMAG                  1.22651      4718.87    1158
SDSS_RMAG                  0.86639      6185.19    1111
SDSS_IMAG                  0.68311      7499.70    1045
SDSS_ZMAG                  0.48245      8961.49    1125
WASHINGTON_CMAG            1.46301      3864.24    1021
WASHINGTON_MMAG            1.10467      5110.19     945
WASHINGTON_T1MAG           0.83083      6428.96	    808
WASHINGTON_T2MAG           0.59382      8094.06    1354
WASHINGTON_DDO51FINFMAG    1.09447    	5144.60     158
WASHINGTON_DDO51F79MAG     1.09519    	5142.15     158
WASHINGTON_DDO51F29MAG     1.09883    	5129.83     158
TMASS_JMAG                 0.28665      12375.60   1688
TMASS_HMAG                 0.18082      16476.02   2543
TMASS_KSMAG                0.11675      21620.75   2714
HST_F218WMAG               3.08782      2228.41     328
HST_F225WMAG  	      	   2.62940      2371.33     468
HST_F275WMAG  	      	   2.02499      2711.60     402
HST_F336WMAG  	      	   1.67536      3358.31     512
HST_F390WMAG  	      	   1.44380      3932.95     896
HST_F438WMAG  	      	   1.34148      4330.16     617
HST_F475WMAG  	      	   1.20367      4791.32    1244
HST_F555WMAG  	      	   1.04089      5334.62    1564
HST_F606WMAG  	      	   0.90941      5925.94    2188
HST_F625WMAG  	      	   0.85528      6258.74    1465
HST_F775WMAG  	      	   0.65905      7661.51    1177
HST_F814WMAG  	      	   0.59845      8063.11    1558
HST_F105WMAG  	      	   0.36866      10585.10   2651
HST_F110WMAG  	      	   0.31708      11623.77   4431
HST_F125WMAG  	      	   0.28148      12516.25   2846
HST_F140WMAG  	      	   0.23585      13969.42   3840
HST_F160WMAG  	      	   0.20177      15391.42   2683
